epoch,loss,accuracy
1,0.2769181,0.78125
2,0.043829344,0.46875
3,0.04778581,0.6484375
4,0.9921842,0.74698794
5,0.9856745,0.78313255
6,0.98335147,0.890625
7,0.87121964,0.9296875
8,0.68742406,0.96875
9,0.62407744,0.97590363
10,0.5659908,0.9765625
11,0.30589056,0.9921875
12,0.26339293,1
13,0.15393259,1
14,0.08998145,1
15,0.09584846,1
16,0.08923704,1
17,0.13830307,1
18,0.08378183,1
19,0.05115191,1
20,0.04611973,1
21,0.046169203,1
22,0.04138662,1
23,0.03199569,1
24,0.03711078,1
25,0.03459464,1
26,0.031742424,1
27,0.022528764,1
28,0.04728379,1
29,0.02457498,1
30,0.022839896,1
31,0.019320065,1
32,0.058541488,1
33,0.01724031,1
34,0.028609527,1
35,0.020684412,1
