epoch,loss,accuracy
1,0.12182227,0.359375
2,0.08680692,0.421875
3,0.06666887,0.46875
4,0.06545848,0.421875
5,0.074826404,0.40625
6,0.08276432,0.46875
7,0.07308459,0.484375
8,0.08029479,0.484375
9,0.0852151,0.5263158
10,0.08187336,0.515625
11,0.06595418,0.40625
12,0.07505533,0.46875
13,0.06479378,0.390625
14,0.078081205,0.390625
15,0.08565176,0.46875
16,0.05655509,0.57894737
17,0.073415816,0.46875
18,0.058079556,0.484375
19,0.075889215,0.5
20,0.05685459,0.5263158
21,0.05793815,0.4736842
22,0.090250865,0.390625
23,0.057260256,0.46875
24,0.07717183,0.5263158
25,0.052521296,0.6315789
