epoch,loss,accuracy
1,0.86324906,0.625
2,0.039936088,0.7619048
3,0.04148787,0.703125
4,0.036553845,0.671875
5,0.034641076,0.75
6,0.04718941,0.734375
7,0.90939873,0.765625
8,0.99808925,0.8125
9,0.9863005,0.875
10,0.97006536,0.84375
11,0.9967145,0.875
12,0.9963449,0.95238096
13,0.99505347,0.95238096
14,0.9859147,0.96875
15,0.96737033,0.96875
16,0.9149541,0.95238096
17,0.75421315,0.984375
18,0.65125465,0.984375
19,0.46913967,1
20,0.715975,1
21,0.5491059,1
22,0.3710081,1
23,0.58130884,1
24,0.9795602,1
25,0.4274454,1
