epoch,loss,accuracy
1,0.06400354,0.6875
2,0.04572897,0.53125
3,0.042930607,0.59375
4,0.042895135,0.5625
5,0.03869461,0.578125
6,0.036728647,0.65625
7,0.036023468,0.625
8,0.034239713,0.703125
9,0.03578684,0.7368421
10,0.034998685,0.6875
11,0.028268209,0.734375
12,0.9256736,0.796875
13,0.966025,0.828125
14,0.9848287,0.890625
15,0.98898613,0.9473684
16,0.9916804,0.921875
17,0.9798976,0.953125
18,0.7743145,1
19,0.5316169,1
20,0.3735506,1
21,0.22837442,1
22,0.18777922,1
23,0.121652365,1
24,0.097967364,1
25,0.098872356,1
