epoch,loss,accuracy
1,0.84302986,0.703125
2,0.041991334,0.5625
3,0.041668344,0.609375
4,0.04155426,0.59375
5,0.04226689,0.59375
6,0.042540595,0.57894737
7,0.04046137,0.578125
8,0.040531978,0.515625
9,0.039432716,0.5263158
10,0.041660883,0.5625
11,0.03710105,0.59375
12,0.03473165,0.53125
13,0.030098824,0.5625
14,0.027072888,0.59375
15,0.026126843,0.6875
16,0.025191324,0.7368421
17,0.9500904,0.78125
18,0.988033,0.84375
19,0.9993138,0.8125
20,0.994669,0.859375
21,0.96662563,0.9473684
22,0.9459244,0.9473684
23,0.9957838,0.921875
24,0.8006462,0.9375
25,0.740213,0.9473684
