epoch,loss,accuracy
1,1.7085806,0.703125
2,0.041155938,0.5625
3,0.041393347,0.609375
4,0.041515276,0.59375
5,0.04181427,0.609375
6,0.04104934,0.609375
7,0.04130248,0.59375
8,0.041721493,0.5625
9,0.041122362,0.57894737
10,0.041063737,0.59375
11,0.0415886,0.640625
12,0.0412154,0.578125
13,0.041249257,0.57894737
14,0.04134549,0.5625
15,0.041241027,0.5625
16,0.041972335,0.6315789
17,0.04141346,0.578125
18,0.041096568,0.6315789
19,0.041222725,0.640625
20,0.04118027,0.59375
21,0.04123788,0.78947365
22,0.042293053,0.7368421
23,0.041328706,0.609375
24,0.04122484,0.5625
25,0.041076217,0.6315789
