epoch,loss,accuracy
1,1320.3512,0.65625
2,0.06600175,0.80952376
3,0.12239626,0.671875
4,0.26587757,0.703125
5,0.04219438,0.71875
6,0.041782685,0.671875
7,0.042200737,0.703125
8,0.04188622,0.671875
9,0.04341153,0.71428573
10,0.043194685,0.65625
11,0.042221665,0.703125
12,0.04197911,0.6875
13,0.041763734,0.640625
14,0.04232491,0.65625
15,0.042265676,0.6875
16,0.041630894,0.65625
17,0.04276477,0.734375
18,0.04293811,0.671875
19,0.042231444,0.640625
20,0.042144623,0.6666666
21,0.041990615,0.640625
22,0.04265457,0.6666666
23,0.042489816,0.703125
24,0.041975908,0.671875
25,0.04220561,0.6875
