epoch,loss,accuracy
1,0.04453978,0.671875
2,0.039508905,0.7619048
3,0.03709257,0.703125
4,0.03619901,0.703125
5,0.033839792,0.765625
6,0.031841073,0.65625
7,0.031160928,0.765625
8,0.028657598,0.765625
9,0.029419092,0.734375
10,0.027529191,0.75
11,0.026121141,0.828125
12,0.023670493,0.765625
13,0.021041524,0.8125
14,0.020995904,0.80952376
15,0.9224111,0.8125
16,0.951672,0.859375
17,0.99261516,0.890625
18,0.98939073,0.890625
19,0.9956306,0.8947369
20,0.9997598,0.921875
21,0.9933245,0.90625
22,0.99873835,0.9375
23,0.999434,0.90625
24,0.9978962,0.953125
25,0.99220335,0.953125
