epoch,loss,accuracy
1,0.3852904,0.78125
2,0.05915082,0.4765625
3,0.047843844,0.63529414
4,0.733865,0.8
5,0.8819562,0.85882354
6,0.93029284,0.85882354
7,0.99432755,0.92941177
8,0.9967671,0.92941177
9,0.9430674,0.96875
10,0.95750564,0.9453125
11,0.5618859,0.9921875
12,0.46361142,1
13,0.26321745,1
14,0.18512228,1
15,0.13227703,1
16,0.088740885,1
17,0.10003916,1
18,0.07413107,1
19,0.06832503,1
20,0.096003056,1
21,0.04146891,1
22,0.068218336,1
23,0.04817062,1
24,0.050770193,1
25,0.037807673,1
26,0.029550666,1
27,0.03000299,1
28,0.016682357,1
29,0.020934682,1
30,0.018255722,1
31,0.09952587,1
32,0.06189031,1
33,0.18929991,1
34,0.5917973,1
35,0.9629518,0.8828125
36,0.6657739,0.9765625
37,0.24991122,1
38,0.059673548,1
39,0.039356265,1
40,0.055973876,1
