epoch,loss,accuracy
1,0.093547896,0.78125
2,0.041298304,0.78125
3,0.040570986,0.3984375
4,0.038154587,0.78125
5,0.037587322,0.4453125
6,0.037008177,0.5060241
7,0.036651965,0.4609375
8,0.035509102,0.46875
9,0.036715973,0.4296875
10,0.03440485,0.48192772
11,0.03417132,0.4140625
12,0.034457646,0.5421687
13,0.03291207,0.484375
14,0.032602303,0.46987954
15,0.03270347,0.5078125
16,0.032276984,0.5546875
17,0.03179819,0.46987954
18,0.03086997,0.5078125
19,0.031391572,0.4921875
20,0.030320253,0.484375
21,0.030268822,0.4609375
22,0.030280128,0.5060241
23,0.029468525,0.515625
24,0.030381426,0.484375
25,0.029907694,0.53125
26,0.027436672,0.5
27,0.029026685,0.515625
28,0.028246999,0.5
29,0.029568342,0.4765625
30,0.027529199,0.515625
31,0.028622508,0.5703125
32,0.030167723,0.5703125
33,0.029300956,0.5390625
34,0.027933292,0.5703125
35,0.026242204,0.546875
