epoch,loss,accuracy
1,57.055702,0.671875
2,0.040981665,0.80952376
3,0.041323554,0.671875
4,0.04162346,0.703125
5,0.04164672,0.71875
6,0.04149609,0.671875
7,0.041628025,0.703125
8,0.04155178,0.671875
9,0.041968603,0.71428573
10,0.042052332,0.65625
11,0.041748714,0.703125
12,0.041773167,0.6875
13,0.041673705,0.640625
14,0.041866843,0.65625
15,0.042027712,0.6875
16,0.04165016,0.65625
17,0.04200639,0.734375
18,0.041703958,0.671875
19,0.04184122,0.640625
20,0.041580066,0.6666666
21,0.041913785,0.640625
22,0.041721333,0.6666666
23,0.04168345,0.703125
24,0.041696377,0.671875
25,0.04169967,0.6875
