epoch,loss,accuracy
1,3.083565,0.703125
2,0.041919068,0.5625
3,0.04125639,0.609375
4,0.04146046,0.59375
5,0.041418176,0.609375
6,0.041445695,0.609375
7,0.041157484,0.59375
8,0.041720286,0.5625
9,0.04126734,0.57894737
10,0.041296598,0.59375
11,0.04159702,0.640625
12,0.04094848,0.578125
13,0.04131464,0.57894737
14,0.041497815,0.5625
15,0.04111685,0.5625
16,0.04161065,0.6315789
17,0.04123129,0.578125
18,0.041098014,0.6315789
19,0.041146707,0.640625
20,0.04107084,0.59375
21,0.04124869,0.78947365
22,0.042148285,0.7368421
23,0.0413083,0.609375
24,0.041304093,0.5625
25,0.040773496,0.6315789
