epoch,loss,accuracy
1,0.15145874,0.78125
2,0.040315665,0.78125
3,0.039937586,0.21875
4,0.040271595,0.78125
5,0.03923891,0.78125
6,0.039023377,0.78125
7,0.03822552,0.78125
8,0.037686344,0.78125
9,0.037746057,0.78125
10,0.036856882,0.78125
11,0.036988195,0.78125
12,0.036499154,0.78125
13,0.03592049,0.4765625
14,0.0361713,0.3515625
15,0.035053894,0.78125
16,0.035257354,0.78125
17,0.034178898,0.78125
18,0.034902647,0.78125
19,0.03394717,0.40625
20,0.03550757,0.78125
21,0.03428663,0.78125
22,0.034135185,0.40963855
23,0.033951055,0.78125
24,0.033593442,0.78125
25,0.033522557,0.78125
26,0.033574563,0.78125
27,0.033464186,0.78125
28,0.03353332,0.78125
29,0.033804882,0.78125
30,0.03370319,0.78125
31,0.032273997,0.78125
32,0.033433963,0.4140625
33,0.03285365,0.78125
34,0.03244832,0.33734939
35,0.0321649,0.40625
