epoch,loss,accuracy
1,400.1523,0.671875
2,0.041629277,0.80952376
3,0.041885663,0.671875
4,0.041870374,0.703125
5,0.041598573,0.71875
6,0.041540742,0.671875
7,0.041575603,0.703125
8,0.041596975,0.671875
9,0.04237521,0.71428573
10,0.042840056,0.65625
11,0.04175729,0.703125
12,0.04178296,0.6875
13,0.04173821,0.640625
14,0.04213941,0.65625
15,0.042144127,0.6875
16,0.041766904,0.65625
17,0.042135306,0.734375
18,0.04196441,0.671875
19,0.041910563,0.640625
20,0.04147974,0.6666666
21,0.042524643,0.640625
22,0.041816253,0.6666666
23,0.04207562,0.703125
24,0.04194978,0.671875
25,0.042000905,0.6875
