epoch,loss,accuracy
1,0.8342963,0.671875
2,0.040803682,0.515625
3,0.038895868,0.625
4,0.03520405,0.609375
5,0.03535456,0.5625
6,0.034679662,0.68421054
7,0.02808419,0.65625
8,0.031000225,0.68421054
9,0.8282208,0.78947365
10,0.9949473,0.78125
11,0.9880886,0.796875
12,0.9810402,0.84375
13,0.993006,0.828125
14,0.97935224,0.859375
15,0.9745507,0.8947369
16,0.97379446,0.875
17,0.99524343,0.9375
18,0.9080838,0.8947369
19,0.9539548,0.953125
20,0.96643543,1
21,0.9725226,0.9473684
22,0.85271317,0.9375
23,0.7069459,0.953125
24,0.6540164,0.96875
25,0.80607843,0.953125
