epoch,loss,accuracy
1,0.04998684,0.703125
2,0.043266516,0.5625
3,0.044405356,0.609375
4,0.043609653,0.59375
5,0.042149648,0.609375
6,0.04252485,0.609375
7,0.04269411,0.59375
8,0.041902937,0.5625
9,0.043051556,0.57894737
10,0.04231291,0.59375
11,0.042811755,0.640625
12,0.041871592,0.578125
13,0.04272442,0.57894737
14,0.043319155,0.5625
15,0.04357948,0.5625
16,0.041770436,0.6315789
17,0.04251628,0.578125
18,0.042381153,0.6315789
19,0.04273303,0.640625
20,0.042306505,0.59375
21,0.042840585,0.78947365
22,0.043346133,0.7368421
23,0.041732293,0.609375
24,0.04332875,0.5625
25,0.042421505,0.6315789
