epoch,loss,accuracy
1,0.098267555,0.6875
2,0.053924557,0.546875
3,0.054567385,0.53125
4,0.07776323,0.59375
5,0.05525039,0.59375
6,0.06687369,0.609375
7,0.05800944,0.53125
8,0.060522456,0.5625
9,0.060732946,0.515625
10,0.05827962,0.578125
11,0.061455965,0.484375
12,0.06422526,0.546875
13,0.053581424,0.53125
14,0.0701728,0.53125
15,0.06033599,0.515625
16,0.07011866,0.6315789
17,0.05234541,0.546875
18,0.059913777,0.546875
19,0.057853602,0.640625
20,0.052220162,0.53125
21,0.06458905,0.78947365
22,0.05959982,0.7368421
23,0.058839332,0.609375
24,0.06493198,0.5625
25,0.052434184,0.546875
