epoch,loss,accuracy
1,2.6352532,0.21052632
2,0.044278003,0.515625
3,0.03981092,0.59375
4,0.039030608,0.59375
5,0.04060713,0.578125
6,0.0393212,0.57894737
7,0.03851013,0.578125
8,0.038566317,0.59375
9,0.039902512,0.59375
10,0.03805635,0.609375
11,0.03903835,0.65625
12,0.03719062,0.59375
13,0.0373856,0.625
14,0.0355204,0.546875
15,0.035914894,0.53125
16,0.03446726,0.78947365
17,0.0336612,0.59375
18,0.034514528,0.6315789
19,0.03140279,0.65625
20,0.030467587,0.68421054
21,0.82087886,0.78947365
22,0.03220426,0.7368421
23,0.027590256,0.671875
24,0.036867265,0.609375
25,0.029685589,0.6875
