epoch,loss,accuracy
1,0.046834167,0.71428573
2,0.038583122,0.71428573
3,0.035881806,0.75
4,0.033184256,0.71875
5,0.029706836,0.6875
6,0.029260473,0.765625
7,0.02664947,0.765625
8,0.027125385,0.75
9,0.026020138,0.828125
10,0.020991879,0.828125
11,0.9584597,0.890625
12,0.98502815,0.859375
13,0.99174345,0.859375
14,0.99926245,0.90625
15,0.9982007,0.9473684
16,0.98263514,0.9375
17,0.9894755,0.921875
18,0.97502834,0.953125
19,0.9920075,0.96875
20,0.9237342,0.96875
21,0.8643356,1
22,0.704086,1
23,0.9202895,0.96875
24,0.7120221,1
25,0.7547813,1
